city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
columbus,Northwest,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Rocky Fork-Blacklick,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,South Linden,22553.0,8696.0,902.0,38.3
columbus,Southeast,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,West Olentangy,22161.0,11971.0,1203.0177217889284,26.00034777158348
columbus,West Scioto,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Westland,56440.0,22983.0,997.0,29.1
dallas,District 1,29949.0,11646.0,1250.092352349512,29.30117719217642
dallas,District 10,97073.0,40766.0,1061.811229333892,32.63918199635453
dallas,District 11,80631.0,36744.0,1218.1209980986637,28.796383784129986
dallas,District 12,115484.0,55713.0,1223.753900671339,26.71681110744452
dallas,District 13,84555.0,34668.0,1219.0047006697287,27.65889910628731
dallas,District 14,89777.0,52230.0,1572.1678788868219,25.38641227519641
dallas,District 2,79062.0,39571.0,1371.1314115861253,29.0099812151262
dallas,District 3,145953.0,47247.0,1109.0991140983742,34.67467609435914
dallas,District 4,107940.0,36879.0,974.5937644085399,37.706783656329875
dallas,District 5,146163.0,42378.0,1033.5947724975845,35.58347329328257
dallas,District 6,76387.0,24556.0,1002.6471169916931,31.288811835267985
dallas,District 7,27232.0,9865.0,902.2415344127821,36.61036332006915
dallas,District 8,89402.0,28510.0,1117.2711736329043,38.77301082673903
dallas,District 9,152791.0,58599.0,1272.778334228645,30.299166272438313
denver,Athmar Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Auraria,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Baker,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Barnum,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Barnum West,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Bear Valley,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Belcaro,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Berkeley,19778.0,9767.0,1387.0,37.2
denver,CBD,6.0,6.0,1595.7325644423388,33.70696606144814
denver,Capitol Hill,20972.0,15040.0,1327.0,28.200000000000003
denver,Chaffee Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Cheesman Park,19013.0,11649.0,1343.0,26.7
denver,Cherry Creek,1.0,1.0,1595.7325644423388,33.70696606144814
denver,City Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,City Park West,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Civic Center,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Clayton,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Cole,1.0,1.0,1595.7325644423388,33.70696606144814
denver,College View - South Platte,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Congress Park,25046.0,13925.0,1438.0,28.0
denver,Cory - Merrill,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Country Club,1.0,1.0,1595.7325644423388,33.70696606144814
denver,DIA,36640.0,11655.0,1922.0,36.8
denver,East Colfax,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Elyria Swansea,15349.0,5524.0,1625.0,29.6
denver,Five Points,1.0,1.0,1595.7325644423388,33.70696606144814
