,city,neighborhood,coordinates
207,seattle,Genesee,"(-122.38778991987576, 47.564779)"
208,seattle,Interbay,"(-122.38069122700267, 47.64214)"
209,seattle,Industrial District,"(-122.33137392018398, 47.5748355)"
210,seattle,Mid-Beacon Hill,"(-122.30507265948954, 47.5563035)"
211,seattle,South Beacon Hill,"(-122.28743535782952, 47.52914)"
212,seattle,Greenwood,"(-122.3553027915219, 47.694013)"
213,seattle,Holly Park,"(-122.28472372173088, 47.537679499999996)"
214,seattle,Fauntleroy,"(-122.3858639996382, 47.520458500000004)"
215,seattle,North Beacon Hill,"(-122.30847125940994, 47.5777405)"
216,seattle,Brighton,"(-122.27461917119393, 47.5387925)"
217,seattle,South Delridge,"(-122.36041926233388, 47.526939999999996)"
218,seattle,Rainier View,"(-122.25952166007937, 47.503505000000004)"
219,seattle,Mount Baker,"(-122.28956704553617, 47.577672500000006)"
220,seattle,Seward Park,"(-122.2662516913669, 47.552522499999995)"
221,seattle,View Ridge,"(-122.27183263118812, 47.683893)"
222,seattle,Dunlap,"(-122.2694140328341, 47.525326)"
223,seattle,Rainier Beach,"(-122.26454233444075, 47.513376)"
224,seattle,Columbia City,"(-122.28575616975309, 47.5611715)"
225,seattle,North Delridge,"(-122.36417609874371, 47.5627485)"
226,seattle,Maple Leaf,"(-122.31696912301442, 47.699353)"
227,seattle,Ravenna,"(-122.30112429467354, 47.6760515)"
228,seattle,Victory Heights,"(-122.30663829835765, 47.7098175)"
229,seattle,Riverview,"(-122.35406249474448, 47.546963500000004)"
230,seattle,Matthews Beach,"(-122.28258224999999, 47.703987)"
231,seattle,Portage Bay,"(-122.31945086002523, 47.646784999999994)"
232,seattle,Bryant,"(-122.28487547014613, 47.6722515)"
233,seattle,Montlake,"(-122.3052216590325, 47.6389385)"
234,seattle,Whittier Heights,"(-122.3714238697623, 47.683317)"
235,seattle,Broadway,"(-122.32063840416947, 47.626487)"
236,seattle,Loyal Heights,"(-122.38491368813396, 47.682905000000005)"
237,seattle,Meadowbrook,"(-122.2962427530043, 47.706522500000005)"
238,seattle,Industrial District,"(-122.35206520711975, 47.5672045)"
239,seattle,Olympic Hills,"(-122.30246618052632, 47.726627)"
240,seattle,Roosevelt,"(-122.31630577727273, 47.680713499999996)"
241,seattle,Lower Queen Anne,"(-122.35410403656124, 47.625553499999995)"
242,seattle,Wedgwood,"(-122.29320099285715, 47.690305)"
243,seattle,North Beach/Blue Ridge,"(-122.38553770014664, 47.7008745)"
244,seattle,Sunset Hill,"(-122.39855388782541, 47.682614)"
245,seattle,Cedar Park,"(-122.2864552834507, 47.724616999999995)"
246,seattle,Bitter Lake,"(-122.35025613295822, 47.719649000000004)"
247,seattle,Haller Lake,"(-122.33465859623989, 47.719633)"
248,seattle,Pinehurst,"(-122.31852149648898, 47.7217285)"
249,seattle,North College Park,"(-122.33720454321907, 47.6990375)"
250,seattle,Phinney Ridge,"(-122.35243462060302, 47.672737999999995)"
251,seattle,Sand Point,"(-122.25467248361775, 47.681942)"
252,seattle,Windermere,"(-122.26765091069976, 47.665153000000004)"
253,seattle,Laurelhurst,"(-122.28037833216749, 47.658218500000004)"
254,seattle,Southeast Magnolia,"(-122.39407669948895, 47.639543)"
255,seattle,High Point,"(-122.36886605326221, 47.543727000000004)"
256,seattle,Seaview,"(-122.39272337617041, 47.5505055)"
257,seattle,Georgetown,"(-122.31791645180536, 47.540195499999996)"
258,seattle,South Park,"(-122.32662638419761, 47.530499)"
259,seattle,Roxhill,"(-122.37125537264151, 47.527688)"
260,seattle,Highland Park,"(-122.34491046057381, 47.527033)"
261,seattle,Madison Park,"(-122.28739499896695, 47.634938000000005)"
262,seattle,Stevens,"(-122.30276373536584, 47.62683)"
263,seattle,Broadview,"(-122.36573687397879, 47.7196165)"
264,seattle,Fremont,"(-122.3539180707107, 47.6574665)"
265,cambridge,The Port,"(-71.09749782441398, 42.366319000000004)"
266,cambridge,Riverside,"(-71.11208850847459, 42.3673305)"
267,cambridge,Area 2/MIT,"(-71.08828300715233, 42.3586775)"
268,cambridge,Cambridgeport,"(-71.10712725579232, 42.3592305)"
269,cambridge,Mid-Cambridge,"(-71.10711354792403, 42.3715675)"
270,cambridge,Wellington-Harrington,"(-71.09218991611269, 42.369668000000004)"
271,cambridge,East Cambridge,"(-71.07975543337218, 42.367896)"
272,cambridge,Cambridge Highlands,"(-71.1484673001894, 42.389958)"
273,cambridge,Strawberry Hill,"(-71.15039388130246, 42.380726)"
274,cambridge,Agassiz,"(-71.11593550105263, 42.382194)"
275,cambridge,West Cambridge,"(-71.13489779493176, 42.3756955)"
276,cambridge,North Cambridge,"(-71.13962460121168, 42.39563)"
277,cambridge,Neighborhood Nine,"(-71.12600683076923, 42.3830705)"
278,chicago,Lincoln Square,"(-87.68959042045455, 41.9760325)"
279,chicago,Hyde Park,"(-87.59259158469945, 41.7942345)"
280,chicago,Woodlawn,"(-87.59506244937255, 41.7761345)"
281,chicago,Rogers Park,"(-87.67098532956007, 42.010497)"
282,chicago,Jefferson Park,"(-87.77276834056244, 41.9825535)"
283,chicago,Forest Glen,"(-87.75165715120747, 41.991699499999996)"
284,chicago,North Park,"(-87.72287084945054, 41.9846)"
285,chicago,Albany Park,"(-87.72429556107676, 41.9685285)"
286,chicago,Dunning,"(-87.8065349180602, 41.947256499999995)"
287,chicago,West Ridge,"(-87.6939423489799, 42.0013935)"
288,chicago,Logan Square,"(-87.70116467042043, 41.9248075)"
289,chicago,West Town,"(-87.68154592142857, 41.902266999999995)"
290,chicago,Austin,"(-87.75805031631694, 41.894541000000004)"
291,chicago,Near West Side,"(-87.66349151018723, 41.8733845)"
292,chicago,Uptown,"(-87.65592806713548, 41.966145)"
293,chicago,Near South Side,"(-87.62154862152778, 41.856595)"
294,chicago,Norwood Park,"(-87.80057392617115, 41.9856295)"
295,chicago,Near North Side,"(-87.63410603271029, 41.899043)"
